Material,Elastic Limit (Tension %S_ut),Elastic Limit (Torsion %S_ut),Diameter d (in),E (Mpsi),E (GPa),G (Mpsi),G (GPa)
Music wire A228,65-75,45-60,<0.032,29.5,203.4,12.0,82.7
Music wire A228,65-75,45-60,0.033-0.063,29.0,200.0,11.85,81.7
Music wire A228,65-75,45-60,0.064-0.125,28.5,196.5,11.75,81.0
Music wire A228,65-75,45-60,>0.125,28.0,193.0,11.6,80.0
HD spring A227,60-70,45-55,<0.032,28.8,198.6,11.7,80.7
HD spring A227,60-70,45-55,0.033-0.063,28.7,197.9,11.6,80.0
HD spring A227,60-70,45-55,0.064-0.125,28.6,197.2,11.5,79.3
HD spring A227,60-70,45-55,>0.125,28.5,196.5,11.4,78.6
Oil tempered A239,85-90,45-50,,28.5,196.5,11.2,77.2
Valve spring A230,85-90,50-60,,29.5,203.4,11.2,77.2
Chrome-vanadium A231,88-93,65-75,,29.5,203.4,11.2,77.2
Chrome-vanadium A232,88-93,65-75,,29.5,203.4,11.2,77.2
Chrome-silicon A401,85-93,65-75,,29.5,203.4,11.2,77.2
Stainless steel A313*,65-75,45-55,,28.0,193.0,10.0,69.0
17-7PH,75-80,55-60,,29.5,208.4,11.0,75.8
414,65-70,45-50,,29.0,200.0,11.2,77.2
420,65-75,45-55,,29.0,200.0,11.2,77.2
440,72-76,50-55,,30.0,206.0,11.5,79.3
Phosphor-bronze B159,75-80,50-55,,15.0,103.4,6.0,41.4
Beryllium-copper B197,70-75,50-55,,17.0,117.2,7.3,50.3
Inconel alloy X-750,65-75,40-50,,31.0,213.7,11.2,77.2
