d,D,T,N-r,N-t,K,a,cone,cup
25,52,16.25,8190,5260,1.56,-3.6,30205,30205
25,52,19.25,9520,9510,1,-3,32205-B,32205-B
25,52,22,13200,7960,1.66,-7.6,33205,33205
25,62,18.25,13000,6680,1.95,-5.1,30305,30305
25,62,25.25,17400,8930,1.95,-9.7,32305,32305
25.159,50.005,13.495,6990,4810,1.45,-2.8,07096,07196
25.4,50.005,13.495,6990,4810,1.45,-2.8,07100,07196
25.4,50.005,13.495,6990,4810,1.45,-2.8,07100-S,07196
25.4,50.292,14.224,7210,4620,1.56,-3.3,L44642,L44610
25.4,50.292,14.224,7210,4620,1.56,-3.3,L44643,L44610
25.4,51.994,15.011,6990,4810,1.45,-2.8,07100,07204
25.4,56.896,19.368,10900,5740,1.9,-6.9,1780,1719
25.4,57.15,19.431,11700,10900,1.07,-3,M184548,M84510
25.4,58.738,19.05,11600,6560,1.77,-5.8,1986,1932
25,59.53,23.368,13900,13000,1.07,-5.1,M84249,M84210
25.4,"10,325",19.842,11000,6550,1.69,-5.1,15578,15523
25.4,61.912,19.05,12100,7280,1.67,-5.8,15101,15243
25.4,62,19.05,12100,7280,1.67,-5.8,15100,15245
25.4,62,19.05,12100,7280,1.67,-5.8,15101,15245
